id,question_stem,choices,answer_key,scientific_concept,raw_concept_output,free_form_analogy,is_defective,defect_reason,generation_status,teacher_model,domain,mmlu_subject,source_index
mmlu_0000_college_biology,"Based on the characteristic population curves that result from plotting population growth of a species, the most effective means of controlling the mosquito population is to",A: maintain the population at a point corresponding to the midpoint of its logistic curve | B: opt for zero population control once the K value of the curve has been reached | C: reduce the carrying capacity cif the environment to lower the K value | D: increase the mortality rate,C,Logistic Growth Model,"{""key_scientific_concept"": ""Logistic Growth Model""}","Imagine a brand-new nightclub, ""The Boom,"" opening in a small town. At first, the dance floor is nearly empty. Word spreads fast. Every new partygoer tells two friends, who each tell two more. The crowd grows explosively—doubling, tripling in size each hour. This is **exponential growth**: the bigger the crowd, the faster it grows.

But the club has a **carrying capacity**: a strict fire-code limit of 500 people. As the floor fills, things change. New arrivals can’t move freely; they bump into elbows, wait in long lines for the bar, and the music feels cramped. The *rate* of growth slows. The 400th person doesn’t attract two friends—they complain about the line. The 450th person? They leave early.

Now, the crowd grows not by doubling, but by adding a few people at a time. The closer you get to 500, the slower the growth. The club is still packed, but the frantic rush is over. Eventually, the bouncer lets in one person only when another leaves. The population stabilizes at exactly 500—a dynamic equilibrium.

This S-shaped curve—fast start, then a gradual leveling off—is the **Logistic Growth Model**. It’s the story of any population (bacteria in a petri dish, deer in a forest, users on a new app) that starts with abundant resources, hits a ceiling of space or food, and then settles into a sustainable balance. The key insight? **Growth isn’t infinite; it’s shaped by limits.** The club’s capacity, not the music, ultimately decides the final headcount.",False,,generated,deepseek-v4-flash,biology,college_biology,0
mmlu_0000_college_chemistry,"The rate, r, of a zero-order chemical reaction A → B can be expressed as which of the following?",A: r = k ln[A] | B: r = k [A]^2 | C: r = k [A] | D: r = k,D,Zero-Order Reaction Rate,"{""key_scientific_concept"": ""Zero-Order Reaction Rate""}","Imagine a **nightclub with a single, very slow bouncer** who checks IDs one at a time. The club is packed, and the line outside stretches for blocks. The bouncer’s job is to let people in, but he works at a fixed, glacial pace—exactly one person every 30 seconds, no matter what.

Here’s the key: **The line’s length doesn’t affect his speed.** Whether there are 10 people or 1,000 people waiting, he still processes exactly one person per half-minute. The crowd outside is so massive that it’s effectively “saturated”—he can’t go any faster, and he never runs out of people to check.

In chemistry, a **zero-order reaction** is exactly this bouncer. The reaction rate is **constant and independent of the reactant concentration**. The reactant (the crowd) might be plentiful or nearly gone, but the rate (the bouncer’s pace) stays the same. This happens when the reaction is limited by something else—like a catalyst surface that’s completely covered, or an enzyme that’s working at maximum capacity.

The most counterintuitive part? As the reaction proceeds, the concentration of the reactant **decreases linearly with time**, not exponentially. The bouncer doesn’t speed up when the line shrinks, nor does he slow down when it’s huge. He just keeps his steady, unchanging rhythm until the very last person (the last molecule) is processed, and then—suddenly—the reaction stops.

So, zero-order means: **the rate is a flat line, not a slope.** The system is so overloaded that the limiting factor isn’t the amount of stuff, but the fixed capacity of the machine doing the work.",False,,generated,deepseek-v4-flash,chemistry,college_chemistry,0
mmlu_0000_college_physics,"The quantum efficiency of a photon detector is 0.1. If 100 photons are sent into the detector, one after the other, the detector will detect photons","A: an average of 10 times, with an rms deviation of about 4 | B: an average of 10 times, with an rms deviation of about 3 | C: an average of 10 times, with an rms deviation of about 1 | D: an average of 10 times, with an rms deviation of about 0.1",B,Quantum Efficiency,"{""key_scientific_concept"": ""Quantum Efficiency""}","Imagine a **fishing net** cast into a sunlit pond. The pond is a solar panel, and each photon of light is a tiny, energetic fish. **Quantum Efficiency (QE)** is not about how many fish you *catch*—it’s about how many fish that *swim into your net* actually get *landed in the boat*.

Here’s the trick: The net has holes of different sizes. Some fish (blue photons) are small enough to slip through the mesh—those are lost, so they don’t count. Other fish (red photons) are too big to fit through the net’s opening—they bounce off the rim, also lost. Only fish that are *just right* (green photons) get trapped. That’s the **external QE**: the ratio of fish that enter the net’s shadow to fish that end up in the boat.

But even a trapped fish might wriggle free before you haul it up. In a solar cell, a photon can be absorbed (trapped) but then its energy is wasted as heat instead of creating an electron. So we also have **internal QE**: of the fish that actually get stuck in the mesh, how many stay in the boat when you lift it?

A perfect net would have 100% QE—every fish that touches it is caught and kept. Real nets (and solar cells) lose some to reflection, wrong-size holes, or slippery escapes. So QE is a **wavelength-dependent report card**: it tells you, for each color of light, how many photons become usable electricity. A high QE means your net is nearly perfect for that color; a low QE means you’re throwing fish back without dinner.",False,,generated,deepseek-v4-flash,physics,college_physics,0
mmlu_0001_college_biology,A frameshift mutation is created when,A: telomeric sequences are removed from DNA | B: a codon's nucleotide sequence changes so that it calls for production of a different amino acid than the original one | C: a base pair is either inserted or deleted in a gene | D: a codon's nucleotide sequence is changed so that instead of coding for a given amino acid it acts to terminate translation,C,Frameshift Mutation Mechanism,"{""key_scientific_concept"": ""Frameshift Mutation Mechanism""}","Imagine a librarian copying a long, ancient recipe book by hand, word by word, onto a new scroll. The recipe is a sequence of three-letter ""codons""—like ""ADD SALT,"" ""MIX DOUGH,"" ""BAKE BREAD""—each triplet telling the baker to do one specific step.

Now, suppose the librarian accidentally **drops a single letter**—say, the ""D"" in ""ADD""—while copying. He doesn't notice, and he continues copying the rest of the sentence *without skipping a space*. The new scroll now reads: ""ADS ALT MIX DOU GHB AKE BRE AD."" Every single word after the dropped letter is now garbled, even though the librarian only made one tiny mistake.

That is a **frameshift mutation**. In DNA, the ""letters"" are nucleotides, and the ""words"" are codons (triplets). The cell's reading machinery (the ribosome) reads the sequence in strict groups of three, starting from a fixed point. If you **insert or delete one or two nucleotides** (not a multiple of three), the entire ""reading frame"" shifts over by one or two spaces. Every subsequent codon is now a different combination of letters, so the cell builds a completely different, usually nonfunctional protein from that point onward—like a train that jumps the tracks and then plows through a field instead of following the rails.

The key is that the error isn't just in one spot; it's a **cascade** that corrupts the entire downstream message. A deletion of three letters, by contrast, would remove one whole ""word"" but leave the rest of the sentence intact—that's a less catastrophic ""in-frame"" mutation. But a single-letter slip is a catastrophic, irreversible shift in meaning.",False,,generated,deepseek-v4-flash,biology,college_biology,1
mmlu_0001_college_chemistry,Infrared (IR) spectroscopy is useful for determining certain aspects of the structure of organic molecules because,A: all molecular bonds absorb IR radiation | B: IR peak intensities are related to molecular mass | C: most organic functional groups absorb in a characteristic region of the IR spectrum | D: each element absorbs at a characteristic wavelength,C,Infrared Absorption Spectroscopy,"{""key_scientific_concept"": ""Infrared Absorption Spectroscopy""}","**The Library of Molecular Fingerprints**  

Imagine a vast library where every book is a molecule, and each book’s text is written in invisible ink. You cannot read the words directly, but you have a special lamp that shines a rainbow of light—from red to violet—onto each page.  

Now, here’s the trick: each molecule’s “ink” absorbs only *specific* colors of that rainbow, leaving the rest untouched. When you shine the full spectrum, the absorbed colors vanish from the reflected light, creating dark gaps—like missing words in a sentence. These gaps are the molecule’s unique “fingerprint.”  

Infrared Absorption Spectroscopy works exactly like this lamp. Instead of visible colors, it uses infrared light (just beyond red, which you feel as heat). When this light hits a sample, molecules vibrate—bonds stretch, bend, and twist. But each bond type (C-H, O-H, C=O, etc.) vibrates at a specific frequency, and it *absorbs* only the infrared light that matches that frequency.  

The instrument records which frequencies were absorbed and which passed through. The resulting spectrum looks like a mountain range with valleys at those absorbed frequencies. Each valley’s position and depth tell you which bonds exist and how many.  

So, just as a librarian identifies a book by its missing words, a chemist identifies a substance by its missing infrared colors. The pattern of dark gaps is the molecule’s unique “signature”—no two compounds share the same fingerprint. This is how scientists detect pollutants, identify drugs, or study proteins: by reading the silent, invisible story of their bonds.",False,,generated,deepseek-v4-flash,chemistry,college_chemistry,1
mmlu_0001_college_physics,"White light is normally incident on a puddle of water (index of refraction 1.33). A thin (500 nm) layer of oil (index of refraction 1.5) floats on the surface of the puddle. Of the following, the most strongly reflected wavelength is",A: 500 nm | B: 550 nm | C: 600 nm | D: 650 nm,C,Thin-Film Interference,"{""key_scientific_concept"": ""Thin-Film Interference""}","Imagine a pond on a windy day. The surface is covered in a thin, shimmering film of oil. You see swirling colors—blues, greens, golds—that shift as you move your head. This is thin-film interference, and the best analogy is a **marching band on a parade route**.

The band is playing a steady, rhythmic beat. The drum major (the light wave) sends out a single, crisp command: ""Step!"" This command travels down the street in two ways at once. One path goes straight down the main road (the light reflecting off the top of the oil film). The other path is a clever echo: the command bounces off a side alley wall (the bottom of the oil film) and then rejoins the main road.

Now, here’s the trick. The echo took a slightly longer route. When the two commands meet again, they might be perfectly in sync—both drummers stomping at the exact same time. That creates a powerful, reinforced beat (a bright, reflected color). But if the echo’s delay is just half a step off, one drummer is stomping while the other is lifting their foot. The commands clash, canceling each other out into silence (that color is missing from the reflection).

The thickness of the oil film is the length of that side alley. A very thin film means the echo is only slightly delayed, canceling short, quick steps (blue light). A thicker spot delays the echo more, canceling longer strides (red light). As the oil shifts and swirls, the alley length changes, so different ""steps"" get canceled or reinforced. That’s why you see a shifting rainbow—it’s the band’s rhythm being perfectly matched or perfectly ruined, depending on the exact length of the detour.",False,,generated,deepseek-v4-flash,physics,college_physics,1
mmlu_0002_college_biology,"To prevent desiccation and injury, the embryos of terrestrial vertebrates are encased within a fluid secreted by the",A: amnion | B: chorion | C: allantois | D: yolk sac,A,Amniotic Egg,"{""key_scientific_concept"": ""Amniotic Egg""}","Think of a **self-contained survival pod** designed for a tiny astronaut to travel to a new planet. That pod is the amniotic egg.

Before this pod existed, life’s “astronauts” (amphibians and fish) had to launch their eggs directly into the water—a fragile, jelly-like blob that dried out on land and was vulnerable to every predator. They could never colonize dry land because their “launchpad” required a liquid medium.

The amniotic egg is the ultimate upgrade: a sealed, waterproof pod with its own built-in life support. Inside, the **yolk** is the astronaut’s food supply—a packed lunch of fats and proteins. The **albumen** (egg white) is the water and shock-absorber, cushioning the astronaut from bumps. The **chorion** and **allantois** act as the pod’s oxygen scrubber and waste recycler, exchanging gases with the outside while storing the astronaut’s urine and solid waste in a separate bag (the allantois). Finally, the **amnion** is the inner, fluid-filled bubble that cradles the astronaut, preventing dehydration and physical trauma.

The **shell** is the pod’s outer hull—tough, porous, and protective. It keeps the inside moist while allowing oxygen in and carbon dioxide out.

With this pod, the astronaut (a reptile, bird, or mammal ancestor) could be “launched” onto dry land, far from water. The embryo didn’t need a pond; it carried its own private pond inside. This single invention allowed vertebrates to conquer the land, because the next generation no longer had to return to the water to begin life. The pod was the key to independence.",False,,generated,deepseek-v4-flash,biology,college_biology,2
mmlu_0002_college_chemistry,What is the maximum number of phases that can be at equilibrium with each other in a three component mixture?,A: 2 | B: 3 | C: 4 | D: 5,D,Gibbs Phase Rule,"{""key_scientific_concept"": ""Gibbs Phase Rule""}","Imagine a **restaurant kitchen** with a fixed menu. The **Gibbs Phase Rule** is the rulebook that tells the chef exactly how many ""knobs"" (temperature, pressure, or ingredient concentrations) they can freely adjust while the number of dishes (phases) on the counter stays the same.

In the kitchen, a ""phase"" is a distinct dish—say, a solid steak, a liquid soup, or a vaporized sauce. The rule says: **F = C – P + 2**, where **F** is the number of knobs you can turn, **C** is the number of ingredients (components), and **P** is the number of dishes (phases) you’re serving.

- **One dish (P=1)**: You have total freedom. You can change the heat, the pressure, and even add a pinch of salt (if salt is an ingredient) without changing the dish’s identity. So, **F = C – 1 + 2 = C + 1** knobs.

- **Two dishes (P=2)**: Now you’re juggling a steak and its broth. You can still turn some knobs, but they’re linked—if you raise the heat, the broth boils off, so you must adjust pressure to keep both dishes. **F = C – 2 + 2 = C** knobs.

- **Three dishes (P=3)**: This is the ""triple point"" of the kitchen—steak, broth, and steam all coexist. Now you have **zero** free knobs. The temperature and pressure are locked at one exact setting, and the ingredient ratios are fixed. Change anything, and one dish disappears.

The rule is a universal ""guest count"" for nature: it tells you how many variables you can tweak before the number of phases (solid, liquid, gas, or different crystal forms) changes. Just like a chef, nature hates overbooking—too many dishes means no room to improvise.",False,,generated,deepseek-v4-flash,chemistry,college_chemistry,2
mmlu_0002_college_physics,Which of the following is true about any system that undergoes a reversible thermodynamic process?,A: There are no changes in the internal energy of the system. | B: The temperature of the system remains constant during the process. | C: The entropy of the system and its environment remains unchanged. | D: The entropy of the system and its environment must increase.,C,Reversible Process Entropy,"{""key_scientific_concept"": ""Reversible Process Entropy""}","Think of a perfectly smooth, frictionless pendulum swinging in a vacuum. It never stops. It converts potential energy to kinetic energy and back again, forever, with zero loss. Now, imagine you film it and play the film backward. It looks identical. That is a **reversible process**.

Now, add a single grain of sand to the pivot. The pendulum still swings, but each arc is a tiny bit smaller. The energy isn't lost—it’s converted into a tiny bit of heat from the friction. Play this film backward, and it looks wrong: the pendulum spontaneously grows its swing while the pivot cools down. That never happens.

**Entropy** is the measure of that ""one-way-ness."" In the frictionless pendulum, entropy stays constant—the system has perfect ""memory"" and can return to any previous state without cost. In the sandy pendulum, entropy increases. The organized, useful energy of the swing is being permanently diluted into the chaotic, random jiggling of heat. You can’t gather that heat back to re-swing the pendulum without spending even more energy elsewhere.

So, a **reversible process** is the ideal where entropy doesn't change (ΔS = 0). It’s a perfect, lossless dance. An **irreversible process** is the real world: every step shuffles the deck a little more, increasing entropy. The universe is a pendulum with infinite sand on its pivot—it always swings forward, never backward.",False,,generated,deepseek-v4-flash,physics,college_physics,2
mmlu_0003_college_biology,Which of the following is a second messenger that stimulates release of calcium ions into the cytoplasm?,A: Prostaglandins | B: Inositol triphosphate | C: Cyclic AMP | D: Calmodulin,B,IP3 Calcium Signaling,"{""key_scientific_concept"": ""IP3 Calcium Signaling""}","Imagine a bustling city where a mayor (a hormone or neurotransmitter) receives an urgent message (a signal) from outside the city walls. The mayor doesn’t run out to fix the problem himself. Instead, he sends a trusted courier—**IP3**—through the city’s narrow streets. The courier’s job is to deliver a specific key to a locked warehouse: the **endoplasmic reticulum**, which stores the city’s most precious resource: **calcium ions**.

The warehouse has special doors (IP3 receptors) that only open with this exact key. When IP3 arrives, it fits the lock, and the doors swing open. Out floods a wave of calcium—not a chaotic flood, but a controlled, rhythmic pulse. This calcium surge is the city’s real workforce. It doesn’t just sit there; it activates local workers: enzymes, muscle fibers, or gene regulators. For example, in a muscle cell, calcium triggers contraction; in a neuron, it releases neurotransmitters; in a growing cell, it turns on genes for division.

The beauty is in the **amplification**: one mayor’s message creates many IP3 molecules, and each IP3 opens many calcium channels, releasing thousands of calcium ions. This is a classic signal cascade—a whisper becomes a shout. The city also has cleanup crews (calcium pumps) that quickly re-absorb the calcium back into the warehouse, so the signal is sharp and temporary. If the pumps fail, calcium stays high, causing chaos (like cell death). So, IP3 is the messenger, the ER is the vault, and calcium is the versatile worker that turns a single external command into a precise, powerful internal response.",False,,generated,deepseek-v4-flash,biology,college_biology,3
